tag_id,tag_name
1691,adventure
2516,angels
4605,biography
4949,book-club
5207,books-i-own
5951,business
6857,children
6953,childrens
7404,classic
7457,classics
7778,comics
8055,contemporary
8517,crime
8717,currently-reading
8865,dan-brown
9882,dragons
9886,drama
10059,dystopia
10064,dystopian
11305,fantasy
11557,favorites
11590,favourites
11665,feminism
11743,fiction
12175,food
13547,graphic-novel
13561,graphic-novels
14017,harry-potter
14467,historical
14487,historical-fiction
14527,historical-romance
14552,history
14821,horror
15048,humor
15081,hunger-games
18367,literature
18886,magic
19052,manga
19733,memoir
20939,mystery
21024,mythology
21387,new-adult
21689,non-fiction
21773,nonfiction
22743,owned
22753,owned-books
22973,paranormal
22983,paranormal-romance
23471,philosophy
23605,picture-books
23743,plays
23831,poetry
24526,psychology
24960,re-read
25152,read-in-2016
25438,realistic-fiction
25647,religion
26138,romance
26735,school
26771,sci-fi
26816,science
26837,science-fiction
26894,scifi
27095,self-help
27199,series
27438,shakespeare
27669,short-stories
28541,star-wars
28610,steampunk
28663,stephen-king
30358,thriller
30464,time-travel
30574,to-read
31155,travel
31254,true-crime
31372,twilight
31617,urban-fantasy
31723,vampire
31745,vampires
32865,writing
32989,ya
33114,young-adult
33268,zombies
